iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,optimal_agrees_majority
1000.0,3.0,0.55,,0.02,,0.8170000000000001,0.0,0.0,0.183,0.183,0.95
1000.0,3.0,0.55,,0.03,,0.603,0.0,0.0,0.397,0.397,0.902
1000.0,3.0,0.55,,0.04,,0.535,0.0,0.0,0.465,0.465,0.901
1000.0,3.0,0.55,,0.07,,0.428,0.0,0.0,0.5720000000000001,0.5720000000000001,0.868
1000.0,3.0,0.55,,0.08,,0.408,0.0,0.0,0.5920000000000001,0.5920000000000001,0.86
1000.0,3.0,0.55,,0.09,,0.387,0.0,0.0,0.613,0.613,0.872
1000.0,3.0,0.55,,0.12,,0.335,0.0,0.0,0.665,0.665,0.851
1000.0,3.0,0.55,,0.13,,0.367,0.0,0.0,0.633,0.633,0.865
1000.0,3.0,0.55,,0.14,,0.345,0.0,0.0,0.655,0.655,0.858
1000.0,3.0,0.6,,0.02,,0.993,0.0,0.0,0.0069999999999999,0.0069999999999999,0.998
1000.0,3.0,0.6,,0.03,,0.907,0.0,0.0,0.093,0.093,0.98
1000.0,3.0,0.6,,0.04,,0.8079999999999999,0.0,0.0,0.192,0.192,0.953
1000.0,3.0,0.6,,0.07,,0.55,0.0,0.0,0.45,0.45,0.91
1000.0,3.0,0.6,,0.08,,0.484,0.0,0.0,0.516,0.516,0.873
1000.0,3.0,0.6,,0.09,,0.4679999999999999,0.0,0.0,0.532,0.532,0.887
1000.0,3.0,0.6,,0.12,,0.396,0.0,0.0,0.604,0.604,0.867
1000.0,3.0,0.6,,0.13,,0.405,0.0,0.0,0.595,0.595,0.866
1000.0,3.0,0.6,,0.14,,0.38,0.0,0.0,0.62,0.62,0.872
1000.0,3.0,0.65,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.65,,0.03,,0.99,0.0,0.0,0.01,0.01,0.997
1000.0,3.0,0.65,,0.04,,0.946,0.0,0.0,0.054,0.054,0.991
1000.0,3.0,0.65,,0.07,,0.6859999999999999,0.0,0.0,0.314,0.314,0.927
1000.0,3.0,0.65,,0.08,,0.605,0.0,0.0,0.395,0.395,0.913
1000.0,3.0,0.65,,0.09,,0.5760000000000001,0.0,0.0,0.424,0.424,0.898
1000.0,3.0,0.65,,0.12,,0.4679999999999999,0.0,0.0,0.532,0.532,0.8859999999999999
1000.0,3.0,0.65,,0.13,,0.424,0.0,0.0,0.5760000000000001,0.5760000000000001,0.8909999999999999
1000.0,3.0,0.65,,0.14,,0.419,0.0,0.0,0.581,0.581,0.893
1000.0,3.0,0.7,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.7,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.7,,0.04,,0.982,0.0,0.0,0.018,0.018,0.994
1000.0,3.0,0.7,,0.07,,0.8029999999999999,0.0,0.0,0.1969999999999999,0.1969999999999999,0.97
1000.0,3.0,0.7,,0.08,,0.6990000000000001,0.0,0.0,0.301,0.301,0.944
1000.0,3.0,0.7,,0.09,,0.654,0.0,0.0,0.346,0.346,0.943
1000.0,3.0,0.7,,0.12,,0.515,0.0,0.0,0.485,0.485,0.921
1000.0,3.0,0.7,,0.13,,0.467,0.0,0.0,0.5329999999999999,0.5329999999999999,0.911
1000.0,3.0,0.7,,0.14,,0.442,0.0,0.0,0.5579999999999999,0.5579999999999999,0.922
1000.0,3.0,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.75,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.75,,0.04,,0.998,0.0,0.0,0.002,0.002,0.999
1000.0,3.0,0.75,,0.07,,0.841,0.0,0.0,0.159,0.159,0.98
1000.0,3.0,0.75,,0.08,,0.779,0.0,0.0,0.221,0.221,0.966
1000.0,3.0,0.75,,0.09,,0.718,0.0,0.0,0.282,0.282,0.971
1000.0,3.0,0.75,,0.12,,0.551,0.0,0.0,0.449,0.449,0.921
1000.0,3.0,0.75,,0.13,,0.535,0.0,0.0,0.465,0.465,0.929
1000.0,3.0,0.75,,0.14,,0.495,0.0,0.0,0.505,0.505,0.923
1000.0,3.0,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.8,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.8,,0.04,,0.995,0.0,0.0,0.005,0.005,0.999
1000.0,3.0,0.8,,0.07,,0.867,0.0,0.0,0.133,0.133,0.986
1000.0,3.0,0.8,,0.08,,0.8270000000000001,0.0,0.0,0.173,0.173,0.98
1000.0,3.0,0.8,,0.09,,0.742,0.0,0.0,0.258,0.258,0.974
1000.0,3.0,0.8,,0.12,,0.6,0.0,0.0,0.4,0.4,0.939
1000.0,3.0,0.8,,0.13,,0.539,0.0,0.0,0.461,0.461,0.955
1000.0,3.0,0.8,,0.14,,0.5329999999999999,0.0,0.0,0.467,0.467,0.959
1000.0,3.0,0.85,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
